algo,score,result
2,10,win
1,5,lose
1,10,win
1,1,lose
1,0,lose
1,9,win
2,10,win
2,10,win
1,10,win
1,6,lose
1,3,lose
1,10,win
1,10,win
2,1,lose
2,2,lose
2,2,lose
1,10,win
1,10,win
1,9,win
1,10,win
1,3,lose
1,10,win
2,2,lose
2,0,lose
2,3,lose
2,1,lose
2,1,lose
2,0,lose
2,1,lose
2,3,lose
1,10,win
1,10,win
1,10,win
1,9,win
1,4,lose
1,2,lose
1,7,lose
1,8,win
1,5,lose
1,6,lose
1,9,win
2,8,lose
2,0,lose
1,9,lose
1,6,lose
1,6,lose
1,4,lose
1,4,lose
1,0,lose
1,7,lose
1,1,lose
1,7,lose
1,1,lose
1,9,lose
1,1,lose
1,5,lose
1,10,win
1,2,lose
1,10,win
1,0,lose
1,6,lose
1,10,win
1,9,lose
1,2,lose
1,2,lose
1,0,lose
1,0,lose
1,10,win
1,4,lose
1,3,lose
1,10,win
1,9,win
1,3,lose
1,9,win
